perm,fitness
"[4, 1, 5, 0, 3, 2]",0.625
"[4, 1, 5, 2, 0, 3]",0.71875
"[4, 1, 5, 2, 3, 0]",0.71875
"[4, 1, 5, 3, 0, 2]",0.625
"[4, 1, 5, 3, 2, 0]",0.5
"[4, 2, 0, 1, 3, 5]",0.875
"[4, 2, 0, 1, 5, 3]",0.875
"[4, 2, 0, 3, 1, 5]",0.875
"[4, 2, 0, 3, 5, 1]",0.875
"[4, 2, 0, 5, 1, 3]",0.90625
"[4, 2, 0, 5, 3, 1]",0.0625
"[4, 2, 1, 0, 3, 5]",0.84375
"[4, 2, 1, 0, 5, 3]",0.8125
"[4, 2, 1, 3, 0, 5]",0.90625
"[4, 2, 1, 3, 5, 0]",0.84375
"[4, 2, 1, 5, 0, 3]",0.8125
"[4, 2, 1, 5, 3, 0]",0.875
"[4, 2, 3, 0, 1, 5]",0.90625
"[4, 2, 3, 0, 5, 1]",0.6875
"[4, 2, 3, 1, 0, 5]",0.90625
"[4, 2, 3, 1, 5, 0]",0.875
"[4, 2, 3, 5, 0, 1]",0.875
"[4, 2, 3, 5, 1, 0]",0.9375
"[4, 2, 5, 0, 1, 3]",0.78125
"[4, 2, 5, 0, 3, 1]",0.53125
"[4, 2, 5, 1, 0, 3]",0.84375
"[4, 2, 5, 1, 3, 0]",0.65625
"[4, 2, 5, 3, 0, 1]",0.5
"[4, 2, 5, 3, 1, 0]",0.375
"[4, 3, 0, 1, 2, 5]",0.875
"[4, 3, 0, 1, 5, 2]",0.875
"[4, 3, 0, 2, 1, 5]",0.875
"[4, 3, 0, 2, 5, 1]",0.84375
"[4, 3, 0, 5, 1, 2]",0.84375
"[4, 3, 0, 5, 2, 1]",0.75
"[4, 3, 1, 0, 2, 5]",0.84375
"[4, 3, 1, 0, 5, 2]",0.75
"[4, 3, 1, 2, 0, 5]",0.75
"[4, 3, 1, 2, 5, 0]",0.875
"[4, 3, 1, 5, 0, 2]",0.96875
